path,registered_in_modules,classification,proposed_decision
Approvals/approval_api.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
Approvals/attribution_board.php,Y,"شاشة مسجَّلة",تبقى
Approvals/hours_approval.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
Approvals/hours_approval_followup.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
Approvals/hours_approval_handler.php,N,معالج/كرون/مساعد,"ليست شاشة"
Approvals/requests.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
Contracts/advance_helpers.php,N,معالج/كرون/مساعد,"ليست شاشة"
Contracts/claim_helpers.php,N,معالج/كرون/مساعد,"ليست شاشة"
Contracts/claims.php,Y,"شاشة مسجَّلة",تبقى
Contracts/client_statement.php,Y,"شاشة مسجَّلة",تبقى
Contracts/collections.php,Y,"شاشة مسجَّلة",تبقى
Contracts/commercial_board.php,Y,"شاشة مسجَّلة",تبقى
Contracts/contract_actions_handler.php,N,معالج/كرون/مساعد,"ليست شاشة"
Contracts/contract_baseline.php,Y,"شاشة مسجَّلة",تبقى
Contracts/contract_card.php,Y,"شاشة مسجَّلة",تبقى
Contracts/contract_guarantees.php,Y,"شاشة مسجَّلة",تبقى
Contracts/contract_lifecycle.php,Y,"شاشة مسجَّلة",تبقى
Contracts/contract_lines.php,Y,"شاشة مسجَّلة",تبقى
Contracts/contract_monthly_plan.php,Y,"شاشة مسجَّلة",تبقى
Contracts/contract_obligations.php,Y,"شاشة مسجَّلة",تبقى
Contracts/contract_payment_schedule.php,Y,"شاشة مسجَّلة",تبقى
Contracts/contract_resource_plan.php,Y,"شاشة مسجَّلة",تبقى
Contracts/contract_sites.php,Y,"شاشة مسجَّلة",تبقى
Contracts/contractequipments_handler.php,N,معالج/كرون/مساعد,"ليست شاشة"
Contracts/contracts.php,Y,"شاشة مسجَّلة",تبقى
Contracts/contracts_details.php,Y,"شاشة مسجَّلة",تبقى
Contracts/cron_price_adjustment.php,N,معالج/كرون/مساعد,"ليست شاشة"
Contracts/get_contract_equipments.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Contracts/get_equipments.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Contracts/note_helpers.php,N,معالج/كرون/مساعد,"ليست شاشة"
Contracts/penalties.php,Y,"شاشة مسجَّلة",تبقى
Contracts/plan_actual_link.php,Y,"شاشة مسجَّلة",تبقى
