الفئة,الملف,الفحص,الطبيعة
C,Contracts/advance_helpers.php,"بلا فحص",—
C,Contracts/claim_helpers.php,"بلا فحص",—
C,Contracts/contractequipments_handler.php,"جلسة فقط",—
C,Contracts/cron_price_adjustment.php,"بلا فحص",—
C,Contracts/get_contract_equipments.php,"جلسة فقط",—
C,Contracts/note_helpers.php,"بلا فحص",—
C,Employees/get_employee_data.php,"جلسة فقط",—
C,Equipments/fleet_file.php,"جلسة فقط",—
C,Equipments/get_contract_stats.php,"جلسة فقط",—
C,Equipments/get_equipment_details.php,"جلسة فقط",—
C,Equipments/get_mine_contracts.php,"جلسة فقط",—
C,Equipments/get_model_data.php,"جلسة فقط",—
C,Finance/cron_depreciation_fin.php,"بلا فحص",—
C,Finance/cron_finance_fin.php,"بلا فحص",—
C,Finance/cron_periodic_fin.php,"بلا فحص",—
C,Fleet/cron_doc_expiry_escalation.php,"بلا فحص",—
C,Governance/cron_permissions.php,"بلا فحص",—
C,Maintenance/breakdowns.php,"جلسة فقط",—
C,Maintenance/get_breakdown_count.php,"جلسة فقط",—
C,Maintenance/get_open_orders_count.php,"جلسة فقط",—
C,Maintenance/get_project_equipment.php,"جلسة فقط",—
C,Maintenance/mnt_helpers.php,"جلسة فقط",—
C,Movement/delete_equipment_driver.php,"جلسة فقط",—
C,Operations/cron_container_gate_report.php,"بلا فحص",—
C,Operations/cron_job_worker.php,"بلا فحص",—
C,Operations/cron_org_assignments.php,"بلا فحص",—
C,Operations/cron_rotation_transfer.php,"بلا فحص",—
C,Operations/cron_unit_chain_sla.php,"بلا فحص",—
C,Operations/cron_unit_chain_weekly.php,"بلا فحص",—
C,Operations/cron_wfm_engine.php,"بلا فحص",—
C,Tickets/cron_tickets.php,"بلا فحص",—
C,Tickets/dept_inbox_map.php,"بلا فحص",—
C,Tickets/get_tickets_count.php,"جلسة فقط",—
C,Timesheet/_ts_journey.php,"بلا فحص",—
C,Timesheet/get_contract_hours.php,"جلسة فقط",—
C,Timesheet/get_drivers.php,"جلسة فقط",—
C,Timesheet/get_failure_codes.php,"جلسة فقط",—
C,Timesheet/get_operations.php,"جلسة فقط",—
C,Timesheet/get_timesheet.php,"جلسة فقط",—
C,Timesheet/get_timesheet_failures.php,"جلسة فقط",—
C,Timesheet/ts_driver_filter.php,"بلا فحص",—
C,Transport/cron_transfer.php,"بلا فحص",—
C,admin/cron_backup.php,"بلا فحص",—
C,admin/index.php,"بلا فحص",—
P,admin/forgot_password.php,"بلا فحص",HTML
P,admin/login.php,"بلا فحص",HTML
P,admin/logout.php,"بلا فحص",—
P,admin/reset_password.php,"بلا فحص",HTML
P,admin/setup_once.php,"بلا فحص",HTML
P,chats/get_messages.php,"جلسة فقط",POST
P,chats/get_unread_count.php,"جلسة فقط",—
P,chats/mark_read.php,"جلسة فقط",POST
P,chats/send_broadcast.php,"جلسة فقط",POST
P,chats/send_message.php,"جلسة فقط",POST
P,company/forgot_password.php,"بلا فحص",HTML
P,company/home.php,"بلا فحص",HTML
P,company/login.php,"بلا فحص",HTML
P,company/logout.php,"بلا فحص",—
P,company/register.php,"بلا فحص",HTML
P,company/request_subscription.php,"بلا فحص",HTML
P,company/reset_password.php,"بلا فحص",HTML
